name	rva	size	record
Upscaling::ResetRenderTargets	0x70f40	4040	0x1110
Upscaling::ResetSamplerStates	0x71f10	182	0x1110
Upscaling::RetireD3D11Texture	0x71fd0	105	0x1110
Upscaling::RetireD3D12Resource	0x72040	205	0x1110
Upscaling::RetireSharedD3D12Texture	0x72110	120	0x1110
Upscaling::SaveSettings	0x72e40	4463	0x1110
Upscaling::ShouldBlockTemporalFeatures	0x74150	132	0x1110
Upscaling::ShouldBlockUpscaling	0x741e0	165	0x1110
Upscaling::ShouldUseFSRFrameGeneration	0x74290	120	0x1110
Upscaling::ShouldUseFrameGeneration	0x74310	96	0x1110
Upscaling::TagDLSSGInputs	0x74370	306	0x1110
Upscaling::UpdateAndBindUpscalingCB	0x74580	1002	0x1110
Upscaling::UpdateGameSettings	0x74970	657	0x1110
Upscaling::UpdateRenderTarget	0x74c10	898	0x1110
Upscaling::UpdateRenderTargets	0x74fa0	1244	0x1110
Upscaling::UpdateSamplerStates	0x75480	540	0x1110
Upscaling::UpdateTextureMemoryUpgradeReserve	0x756a0	7	0x1110
Upscaling::UpdateUpscaling	0x756b0	3045	0x1110
Upscaling::Upscale	0x762a0	7210	0x1110
`OSD::BuildDetailedText'::`1'::dtor$1	0xb95c0	12	0x110f
`Streamline::PostDevice'::`1'::dtor$0	0xb95c0	12	0x110f
`Streamline::PostDevice'::`1'::dtor$3	0xb95c0	12	0x110f
`Upscaling::CopyPipboyMaskForSR'::`1'::dtor$0	0xb9640	12	0x110f
`Upscaling::SaveSettings'::`1'::dtor$22	0xb9640	12	0x110f
`Upscaling::SaveSettings'::`1'::dtor$34	0xb9640	12	0x110f
`nvngx::dlss_nr::D3D12Backend::EnsureIntermediateResources'::`1'::dtor$2	0xb9640	12	0x110f
`FidelityFX::EnsureContext'::`1'::dtor$0	0xb9660	12	0x110f
`FidelityFX::EnsureContext'::`1'::dtor$3	0xb9660	12	0x110f
`Streamline::LoadInterposer'::`1'::dtor$17	0xb9660	12	0x110f
`nvngx::dlss_nr::D3D12Backend::Evaluate'::`1'::dtor$0	0xb9660	12	0x110f
`nvngx::dlss_nr::D3D12Backend::Evaluate'::`1'::dtor$3	0xb9660	12	0x110f
`DX12SwapChain::ResizeBuffersInternal'::`1'::dtor$0	0xb96a0	12	0x110f
`DX12SwapChain::ResizeBuffersInternal'::`1'::dtor$3	0xb96a0	12	0x110f
`Streamline::LoadInterposer'::`1'::dtor$4	0xb96a0	12	0x110f
`Streamline::LoadInterposer'::`1'::dtor$6	0xb96a0	12	0x110f
`Streamline::LoadInterposer'::`1'::dtor$9	0xb96a0	12	0x110f
`Streamline::UpdateReflex'::`1'::dtor$0	0xb96a0	12	0x110f
`DX12SwapChain::FenceFrameSlotAfterPresent'::`1'::dtor$0	0xb9780	12	0x110f
`DX12SwapChain::WaitForGPUIdle'::`1'::dtor$0	0xb9780	12	0x110f
`FidelityFX::DestroyFSRResources'::`1'::dtor$0	0xb9780	12	0x110f
`OSD::BuildDetailedText'::`1'::dtor$2	0xb9780	12	0x110f
``Streamline::UpscaleD3D12'::`2'::<lambda_3>::operator()'::`1'::dtor$0	0xb9780	12	0x110f
``Streamline::UpscaleD3D12'::`2'::<lambda_3>::operator()'::`1'::dtor$3	0xb9780	12	0x110f
